#coordinates: (min_x, min_y, max_x, max_y)
human_SOPHIA(17) : (143.26459858970742, -166.17448689228218, 143.86459858970744, -165.57448689228215)
human_SOPHIA(18) : (-28.780290501176303, -128.83900003931254, -28.1802905011763, -128.23900003931251)
human_SOPHIA(19) : (-30.18231998285674, 46.37120001142195, -29.58231998285674, 46.97120001142194)
human_SOPHIA(20) : (41.98371254089832, 10.443831905179984, 42.58371254089831, 11.043831905179985)
human_SOPHIA(21) : (25.472770652527117, 7.842156245752444, 26.07277065252712, 8.442156245752445)
human_SOPHIA(22) : (90.47600000994272, 31.41155463843058, 91.07600000994272, 32.01155463843058)
human_SOPHIA(23) : (64.26649992057497, 8.181376178354613, 64.86649992057497, 8.781376178354614)
human_SOPHIA(24) : (51.68086636244803, 54.991200004434866, 52.28086636244802, 55.59120000443486)
human_SOPHIA(25) : (91.64542561217998, 64.4811999885877, 92.24542561217997, 65.0811999885877)
human_SOPHIA(26) : (100.35111621619224, 31.41793679978535, 100.95111621619223, 32.017936799785346)
human_SOPHIA(27) : (115.8712064794774, 8.089515189572948, 116.47120647947739, 8.68951518957295)
human_SOPHIA(28) : (121.24481593058846, 44.57140001914811, 121.84481593058845, 45.1714000191481)
human_SOPHIA(29) : (106.53599999312425, 44.55807388510929, 107.13599999312424, 45.15807388510928)
human_SOPHIA(30) : (192.57599999275442, 51.36636394910173, 193.17599999275444, 51.966363949101726)
human_SOPHIA(31) : (138.80789555339058, 45.00130004367635, 139.4078955533906, 45.601300043676346)
human_SOPHIA(32) : (266.145717337356, 12.78457513643579, 266.74571733735604, 13.38457513643579)
human_SOPHIA(33) : (229.2557173099681, 13.248325064421463, 229.85571730996813, 13.848325064421465)
human_SOPHIA(34) : (95.12925949420855, -9.226132463310128, 95.72925949420855, -8.626132463310126)
human_SOPHIA(35) : (45.51757825426681, -8.937114641365792, 46.1175782542668, -8.33711464136579)
human_SOPHIA(36) : (188.07599999024092, -9.579082583779877, 188.67599999024094, -8.979082583779876)
human_SOPHIA(37) : (140.8155453544608, -23.918699685225988, 141.41554535446082, -23.318699685225987)
human_SOPHIA(38) : (150.09599995705383, -42.3148865153154, 150.69599995705386, -41.714886515315406)
human_SOPHIA(39) : (189.61599997970154, -34.770941794767886, 190.21599997970156, -34.17094179476789)
human_SOPHIA(40) : (170.00279880979318, 8.225873688907962, 170.6027988097932, 8.825873688907963)
human_SOPHIA(41) : (146.25600002642412, 9.111242120192781, 146.85600002642414, 9.711242120192782)
human_SOPHIA(42) : (261.17769537632535, -31.898700008463155, 261.77769537632537, -31.298700008463154)
human_SOPHIA(43) : (294.45727631095775, -55.87859998858283, 295.0572763109578, -55.27859998858283)
human_SOPHIA(44) : (44.51833193959363, -88.4235660398319, 45.118331939593624, -87.8235660398319)
human_SOPHIA(45) : (153.38859034894222, -88.74877751718947, 153.98859034894224, -88.14877751718947)
human_SOPHIA(46) : (231.04599971251858, -51.61135429070467, 231.6459997125186, -51.01135429070467)
human_SOPHIA(47) : (239.84599997777076, -62.20696576590493, 240.44599997777078, -61.60696576590494)
human_SOPHIA(48) : (66.39659998372017, -125.25513506358575, 66.99659998372016, -124.65513506358576)
human_SOPHIA(49) : (110.9090132679485, -136.13854360121343, 111.50901326794849, -135.5385436012134)
human_SOPHIA(50) : (72.88341474415373, -164.99714910413434, 73.48341474415372, -164.39714910413431)
human_SOPHIA(51) : (-31.681165680048284, -86.65880000781846, -31.081165680048283, -86.05880000781846)
human_SOPHIA(52) : (-27.623399959342105, -59.67987438782159, -27.023399959342104, -59.0798743878216)
human_SOPHIA(53) : (-47.823300017588224, -114.75157100058509, -47.22330001758823, -114.1515710005851)
human_SOPHIA(54) : (230.1332038485081, -100.03946366865641, 230.7332038485081, -99.43946366865642)
human_SOPHIA(55) : (228.60328556058047, -126.50900001648778, 229.2032855605805, -125.90900001648778)
human_SOPHIA(56) : (306.63711655011303, -61.39839997642969, 307.23711655011306, -60.79839997642969)
human_SOPHIA(57) : (327.3464164846543, -19.33155518455268, 327.9464164846543, -18.73155518455268)
human_SOPHIA(58) : (-53.322856575234596, 31.42869614740258, -52.7228565752346, 32.02869614740258)
human_SOPHIA(59) : (-34.5062876990848, 39.018667924070044, -33.90628769908481, 39.61866792407004)
human_SOPHIA(60) : (14.03900615926677, -125.81542235613148, 14.63900615926677, -125.21542235613148)
human_ANTHONY(1) : (23.87, 7.65002, 24.27, 8.05002)
human_ANTHONY(2) : (73.13071582806275, 8.049809998099906, 73.53071582806275, 8.449809998099905)
human_ANTHONY(3) : (100.30000000060943, 7.430477690066217, 100.70000000060944, 7.830477690066218)
human_ANTHONY(4) : (136.0999999962622, 9.148575716111754, 136.49999999626218, 9.548575716111753)
human_ANTHONY(5) : (61.329863238169395, 45.53169716385018, 61.7298632381694, 45.93169716385019)
human_ANTHONY(6) : (126.10287151933775, 47.18950217376349, 126.50287151933776, 47.5895021737635)
human_ANTHONY(7) : (164.34880922709587, 45.84784702332675, 164.74880922709585, 46.247847023326756)
human_ANTHONY(8) : (231.29000000226117, 24.14922606130552, 231.69000000226114, 24.549226061305518)
human_ANTHONY(9) : (4.194878029664008, -60.16088631089934, 4.594878029664009, -59.76088631089934)
human_ANTHONY(10) : (62.68922151238885, -60.83009999819939, 63.08922151238885, -60.43009999819938)
human_ANTHONY(11) : (135.47282421612098, -8.020835078828416, 135.87282421612096, -7.620835078828416)
human_ANTHONY(12) : (160.61522712811856, -60.5559539089736, 161.01522712811854, -60.15595390897359)
human_ANTHONY(13) : (231.04000000065926, -28.620446599144326, 231.44000000065924, -28.220446599144328)
human_ANTHONY(14) : (242.53431386038648, -62.581656641714794, 242.93431386038645, -62.18165664171479)
human_ANTHONY(15) : (192.96076915491005, -73.6088039434216, 193.36076915491003, -73.2088039434216)
human_ANTHONY(16) : (169.05888914458993, -136.45809766871582, 169.4588891445899, -136.05809766871585)
human_ANTHONY(17) : (7.032192561831479, -133.57917182360876, 7.43219256183148, -133.17917182360878)
human_ANTHONY(18) : (-50.18168673077071, -12.199044854637693, -49.7816867307707, -11.799044854637694)
human_ANTHONY(19) : (-57.988216910601395, 8.346822265987205, -57.58821691060139, 8.746822265987204)
human_ANTHONY(20) : (43.660000000711285, 28.38069747406942, 44.06000000071129, 28.78069747406942)
human_ANTHONY(21) : (0.9960369406333491, 11.430729310617995, 1.396036940633349, 11.830729310617993)
human_ANTHONY(22) : (51.750000000602796, 16.74069132532534, 52.1500000006028, 17.14069132532534)
human_ANTHONY(23) : (91.56999999972854, 10.189833744121477, 91.96999999972854, 10.589833744121476)
human_ANTHONY(24) : (80.58987272854303, 45.159800000337725, 80.98987272854303, 45.55980000033773)
human_ANTHONY(25) : (89.98999999954239, 57.46955116633767, 90.3899999995424, 57.86955116633768)
human_ANTHONY(26) : (98.92949251630371, 54.40000000051704, 99.32949251630372, 54.800000000517045)
human_ANTHONY(27) : (101.34999999591912, 44.46923100195125, 101.74999999591913, 44.869231001951256)
human_ANTHONY(28) : (122.84044764099566, 28.379999999543617, 123.24044764099567, 28.779999999543616)
human_ANTHONY(29) : (100.50999999935952, 28.38062800584846, 100.90999999935953, 28.78062800584846)
human_ANTHONY(30) : (134.80943497090897, 28.389021276807274, 135.20943497090894, 28.789021276807272)
human_ANTHONY(31) : (192.6098268262281, 18.07980000017658, 193.00982682622808, 18.479800000176578)
human_ANTHONY(32) : (190.2499999995212, 53.86933066567452, 190.64999999952119, 54.269330665674524)
human_ANTHONY(33) : (164.41515949658225, 45.39520007816222, 164.81515949658223, 45.795200078162225)
human_ANTHONY(34) : (230.1101428940744, 18.98388968942158, 230.51014289407436, 19.38388968942158)
human_ANTHONY(35) : (340.72215300119376, 9.064487201534769, 341.12215300119374, 9.464487201534768)
human_ANTHONY(36) : (3.890546135372044, -30.729900000556892, 4.290546135372044, -30.329900000556894)
human_ANTHONY(37) : (116.9093025259306, -10.490699996298435, 117.3093025259306, -10.090699996298437)
human_ANTHONY(38) : (136.80999999975597, -61.97023928620309, 137.20999999975595, -61.57023928620308)
human_ANTHONY(39) : (190.60959519313832, -27.19989999958724, 191.0095951931383, -26.799899999587243)
human_ANTHONY(40) : (153.53999999619663, -60.991616633953214, 153.9399999961966, -60.59161663395321)
human_ANTHONY(41) : (189.35961128499642, -58.240100000396325, 189.7596112849964, -57.84010000039632)
human_ANTHONY(42) : (258.2210393476366, -27.430480230319674, 258.62103934763655, -27.030480230319675)
human_ANTHONY(43) : (354.78947452216977, -19.40019999721122, 355.18947452216975, -19.000199997211222)
human_ANTHONY(44) : (336.980000000411, -58.6897971206879, 337.380000000411, -58.28979712068789)
human_ANTHONY(45) : (284.4008141003433, -45.74247007678756, 284.8008141003433, -45.342470076787556)
human_ANTHONY(46) : (258.12199242450976, -46.06150096680402, 258.52199242450973, -45.66150096680401)
human_ANTHONY(47) : (231.5299999995027, -51.989612406985806, 231.92999999950268, -51.5896124069858)
human_ANTHONY(48) : (121.84347150278668, -88.23383191217518, 122.24347150278669, -87.83383191217517)
human_ANTHONY(49) : (29.22264131641781, -87.74416396442875, 29.62264131641781, -87.34416396442874)
human_ANTHONY(50) : (230.11063976436742, -105.53000000065232, 230.5106397643674, -105.13000000065232)
human_ANTHONY(51) : (229.32000000059887, -187.04941253370538, 229.72000000059884, -186.6494125337054)
human_ANTHONY(52) : (108.9807213680689, -158.58654443406306, 109.3807213680689, -158.18654443406308)
human_ANTHONY(53) : (187.82986447788463, -139.94090320794385, 188.2298644778846, -139.54090320794387)
human_ANTHONY(54) : (6.283759084171653, -159.97279871506754, 6.683759084171653, -159.57279871506756)
human_ANTHONY(55) : (-28.200358055352027, -97.09903020773575, -27.800358055352028, -96.69903020773575)
human_ANTHONY(56) : (-29.310199999611676, -192.36961919999575, -28.910199999611677, -191.96961919999578)
human_ANTHONY(57) : (-45.38236416262509, 28.34211402539914, -44.98236416262508, 28.74211402539914)
human_ANTHONY(58) : (-37.10100897114029, -130.51999999758814, -36.70100897114028, -130.11999999758817)
human_ANTHONY(59) : (-29.376868805352515, 28.422777950797446, -28.976868805352517, 28.822777950797445)
human_ANTHONY(60) : (232.41907724763402, -74.45089386180025, 232.819077247634, -74.05089386180025)


sidewalk_dict Total Count : 20
-------------------------
sidewalk_block(1) : (226.0, -64.0, 271.0, -42.5)
sidewalk_block(2) : (226.0, -37.5, 276.0, -17.5)
sidewalk_block(3) : (276.0, -64.0, 400.0, -17.5)
sidewalk_block(4) : (226.0, 7.5, 400.0, 90.0)
sidewalk_block(5) : (134.0, 45.0, 196.0, 90.0)
sidewalk_block(6) : (98.5, 45.0, 127.5, 90.0)
sidewalk_block(7) : (50.5, 45.0, 93.5, 90.0)
sidewalk_block(8) : (134.0, 6.5, 196.0, 40.0)
sidewalk_block(9) : (98.5, 6.5, 127.0, 40.0)
sidewalk_block(10) : (50.5, 6.5, 93.5, 40.0)
sidewalk_block(11) : (0.0, 6.5, 45.5, 90.0)
sidewalk_block(12) : (134.0, -27.5, 196.0, -6.5)
sidewalk_block(13) : (145.0, -63.0, 196.0, -27.5)
sidewalk_block(14) : (134.0, -63.0, 140.0, -32.5)
sidewalk_block(15) : (0.0, -63.0, 127.0, -6.5)
sidewalk_block(16) : (0.0, -90.0, 196.0, -70.0)
sidewalk_block(17) : (0.0, -200.0, 196.0, -120.0)
sidewalk_block(18) : (-70.0, 6.5, -25.0, 90.0)
sidewalk_block(19) : (-70.0, -200.0, -25.0, -6.5)
sidewalk_block(20) : (226.0, -199.0, 400.0, -69.0)
